SENTENCE,ID
When was insulin first discovered?,1
How many types of insulin are there?,2
What determines the strengths of insulin?,3
What are insulin Additives and allergies?,4
How does alcohol affect Blood Sugar?,5
What is Alström Syndrome?,6
What does Alström Syndrome Symptoms includes?,7
what is the causes of Alström syndrome?,8
How is Alström syndrome diagnosed?,9
Can I get an artificial pancreas?,10
What is an artificial pancreas?,11
What is an Autoimmune Disease?,12
What causes the immune system to act this way?,13
What are the most common autoimmune diseases?,14
What are the symptoms of autoimmune diesease?,15
what is Binge Eating Disorders?,16
What counts as binge eating?,17
What can cause binge eating to take place?,18
How can hunger follow after recently eating?,19
Are there any body parts I shouldn’t get pierced?,20
How could bone marrow transplants treat type 1 diabetes?,21
How is a bone marrow transplant carried out?,22
Was bone marrow transplantation successful in treating type 1 diabetes?,23
How does brittle diabetes develop and what is it associated with?,24
Is brittle diabetes different from stable diabetes?,25
What is the life expectancy with brittle diabetes?,26
Is brittle diabetes common?,27
Will I get brittle diabetes?,28
How is brittle diabetes treated?,29
Can People with Diabetes Give Blood?,30
What are the conditions for giving blood?,31
How to care for Someone with Diabetes?,32
How to care for a child with diabetes?,33
How to care for a partner with diabetes?,34
How to care for an elderly person with diabetes?,35
What are the Causes of Type 1 Diabetes?,36
What are type 1 diabetes triggers?,37
What are the causes of Type 2 Diabetes?,38
what are risk factors for type 2 diabetes?,39
How is diabetes caused in children?,40
What symptoms do children with diabetes exhibit?,41
How are children with diabetes treated?,42
What can the parents of children with diabetes do?,43
how to control Type 1 Diabetes?,44
How to controlling Type 2 Diabetes?,45
How can blood glucose testing help?,46
What can we learn from an HbA1c test?,47
What are type 2 medications?,48
What are the cost of Diabetes?,49
what are the cost of diabetes complications?,50
what are C-peptide Test?,51
What is C-peptide?,52
Why is a c-peptide test done?,53
How is the test performed?,54
what does C-peptide test results show?,55
What is Critical Illness Cover?,56
Why do I need Critical Illness Cover?,57
Have Critical Illness products been available in the past?,58
How does Critical Illness for Diabetes work?,59
What does Critical Illness cost?,60
What is cystic fibrosis?,61
what are the symptoms of diabetes in cystic fibrosis?,62
what are the diagnosis of diabetes in cystic fibrosis?,63
what are the causes of Cystic fibrosis?,64
what are the treatment for Cystic fibrosis?,65
Waht are symptoms of dehydration?,66
What are the causes and contributory factors of dehydration?,67
What are symptoms of severe dehydration?,68
How does LADA compare with other diabetes types?,69
How common is LADA?,70
How is LADA diagnosed?,71
How is LADA treated?,72
What complications are related to LADA?,73
What is MODY diabetes?,74
Why is MODY inherited so easily?,75
Why does MODY differ from other strains of diabetes?,76
what is the relation between Diabetes and Alcohol?,77
What are the recommended alcohol guidelines for people with diabetes?,78
How much alcohol do drinks usually contain?,79
So if I have diabetes I can drink as usual?,80
What do I need to be careful of when it comes to diabetes and alcohol?,81
what is the relation between Diabetes and Amputation?,82
Why is Diabetes is a leading cause of amputation?,83
What factors lead to amputation?,84
How are these factors assessed?,85
What are major and minor amputations?,86
How should I identify a foot at risk from amputation?,87
What is the purpose of disability benefits?,88
What benefits are available to me?,89
what are Carbohydrate Controlled Diets?,90
What is a carbohydrate controlled diet?,91
what are Fixed carbohydrate intakes?,92
what are Restricted carbohydrate diets?,93
How do restricted carbohydrate diets work?,94
what is the relation between diabetes and Cholesterol?,95
What is cholesterol?,96
what are the Cholesterol targets for people with diabetes?,97
what are the Symptoms of high cholesterol?,98
What causes high cholesterol?,99
how does Diet affect cholesterol?,100
how to Diagnose high cholesterol?,101
how to Treat high cholesterol?,102
Do I need tablets (statins) for high cholesterol?,103
what is the relation between Diabetes and Coeliac Disease (Coeliac Sprue or Gluten Allergy)?,104
What symptoms are common in coeliac disease?,105
what is the relation Coeliac disease and children?,106
How large is the risk of coeliac disease in the UK?,107
What are the causes of coeliac disease?,108
Is there a link between diabetes and coeliac disease?,109
How will being coeliac affect my diabetes?,110
What diet should I use if I have coeliac disease and diabetes?,111
Who can I turn to for help and advice about diabetes and coeliac disease?,112
how is Diabetes and Dental Health related?,113
how is Diabetes and dental hygiene related?,114
how is Diabetes and gum diseases related?,115
What are the symptoms of dental health problems?,116
How could Dental treatment affect blood sugar levels?,117
what is the relation between Diabetes and Depression?,118
What exactly is depression?,119
How can depression affect my diabetes?,120
what is Diabulimia?,121
What are the signs of diabulimia?,122
How does diabulimia work?,123
How does diabulimia affect the body?,124
Will I lose my job if my diabetes causes me to have too much time off work?,125
Can my employer reduce my pay because of leave for my diabetes?,126
Do I need to inform the DVLA for my diabetes?,127
what the relationship between Diabetes and Employment?,128
Are some jobs more suitable for people with diabetes?,129
Are diabetics banned from doing some jobs?,130
what is the relation between Diabetes and Ethnicity?,131
what are interesting Ethnicity facts of diabetes?,132
how is Diabetes in India and China?,133
what is the relation between Diabetes and Extreme Sports?,134
What are extreme sports?,135
Why shouldn’t diabetics take part in extreme sports?,136
What should diabetics wishing to participate in extreme sports do?,137
what is the relation between Diabetes and Fitness?,138
what does Fitness and Exercise Guides do?,139
What is the best kind of physical activity to help prevent or manage diabetes?,140
what is Seize the moment?,141
What problems can hot weather cause for people with diabetes?,142
What are the hypo risks from hot weather?,143
What is hyperglycemia?,144
What causes hyperglycemia?,145
What are the symptoms of hyperglycemia?,146
Is hyperglycemia serious?,147
How to avoid and deal with hyperglycemia?,148
How does illness affect diabetes?,149
Which injection site is best?,150
What else affects how fast insulin enters the blood?,151
What are ketones?,152
How do I test for ketones?,153
Who needs to be aware of ketones?,154
Will I be able to lead a ‘normal’  life?,155
What are the risk factors for metabolic syndrome?,156
What are the symptoms of metabolic syndrome?,157
What if I have some of these symptoms?,158
What is metabolism?,159
How does insulin resistance lead to higher blood sugar levels?,160
What is nocturia?,161
what are the Causes of nocturia?,162
what is the relation between Diabetes and nocturia?,163
How can nocturia be treated?,164
what are the Links between obesity and type 2 diabetes?,165
How does obesity cause type 2 diabetes?,166
how to Make lifestyle changes?,167
what is the relation between Pregnancy and Diabetes?,168
How does smoking increase my heart disease risk as a diabetic?,169
What other diabetes complications will smoking affect?,170
What benefits could giving up smoking give to me as a diabetic?,171
What are stem cells?,172
What is stem cell research?,173
Where do stem cells come from?,174
how is Stem cells use in islet cell transplants?,175
What are the differences in diagnosing diabetes amongst the elderly when compared to diabetes amongst the young?,176
What are the differences in treatment of diabetes amongst the elderly when compared to diabetes amongst the young?,177
Are there increased risks when an elderly person develops diabetes?,178
Will diabetes treatment vary between each person?,179
how does Diabetes affect the Family?,180
Why might someone with diabetes need the help and support of their family?,181
How can one help relatives with diabetes?,182
What healthy changes should I encourage my relative to make?,183
What else can I do to help the diabetic or diabetics in my family?,184
Any other tips about diabetes and the family?,185
Someone in my family has diabetes; do I have a greater risk of developing it?,186
Do I need to be screened for diabetes if a family member is diagnosed?,187
What is the best weapon families can employ against diabetes?,188
Which diet will help me to lose weight?,189
How does exercise help diabetes and weight loss?,190
Could alternative weight loss therapies help?,191
Should I consider weight loss surgery?,192
what are the Causes of Diabetes?,193
what are Type 1 diabetes causes?,194
what are Type 2 diabetes causes?,195
what are Other diabetes causes?,196
what causes Gestational diabetes?,197
what are the Symptoms of charcot foot?,198
what are the Causes of charcot foot?,199
what are the Treatment for charcot foot?,200
what to do when Recovering from charcot foot?,201
what are Diabetes Checks?,202
what are Diabetes check ups for newly diagnosed people with diabetes?,203
What is stress?,204
What can cause stress?,205
How does stress affect my diabetes?,206
How do I know whether stress is affecting my glycemic control?,207
What is the fight-freeze or flight response?,208
How can I combat stress?,209
How does exercise help with stress?,210
How does mindfulness meditation alleviate stress?,211
What is a diabetes screening test?,212
What kind of conditions are usually related to diabetes?,213
Can some drugs cause diabetes?,214
What kind of problems could indicate diabetes?,215
what are Diabetes Drugs?,216
Diabetes Drugs:what is Insulin?,217
Diabetes Drugs: what are Biguanides / Metformin?,218
Diabetes Drugs: what are Sulphonylureas?,219
