ID,SENTENCE,Class
1,When was insulin first discovered?,informationanddefinition
2,How many types of insulin are there?,informationanddefinition
3,What determines the strengths of insulin?,informationanddefinition
4,What are insulin Additives and allergies?,informationanddefinition
5,How does alcohol affect Blood Sugar?,complications
6,What is Alström Syndrome?,informationanddefinition
7,What does Alström Syndrome Symptoms includes?,manifestation
8,what is the causes of Alström syndrome?,cause
9,How is Alström syndrome diagnosed?,diagnosis
10,Can I get an artificial pancreas?,informationanddefinition
11,What is an artificial pancreas?,informationanddefinition
12,What is an Autoimmune Disease?,informationanddefinition
13,What causes the immune system to act this way?,cause
14,What are the most common autoimmune diseases?,informationanddefinition
15,What are the symptoms of autoimmune diesease?,manifestation
16,what is Binge Eating Disorders?,informationanddefinition
17,What counts as binge eating?,informationanddefinition
18,What can cause binge eating to take place?,cause
19,How can hunger follow after recently eating?,informationanddefinition
20,Are there any body parts I shouldn’t get pierced?,informationanddefinition
21,How could bone marrow transplants treat type 1 diabetes?,management
22,How is a bone marrow transplant carried out?,informationanddefinition
23,Was bone marrow transplantation successful in treating type 1 diabetes?,management
24,How does brittle diabetes develop and what is it associated with?,diagnosis
25,Is brittle diabetes different from stable diabetes?,informationanddefinition
26,What is the life expectancy with brittle diabetes?,informationanddefinition
27,Is brittle diabetes common?,informationanddefinition
28,Will I get brittle diabetes?,informationanddefinition
29,How is brittle diabetes treated?,management
30,Can People with Diabetes Give Blood?,informationanddefinition
31,What are the conditions for giving blood?,informationanddefinition
32,How to care for Someone with Diabetes?,management
33,How to care for a child with diabetes?,management
34,How to care for a partner with diabetes?,management
35,How to care for an elderly person with diabetes?,management
36,What are the Causes of Type 1 Diabetes?,cause
37,What are type 1 diabetes triggers?,cause
38,What are the causes of Type 2 Diabetes?,cause
39,what are risk factors for type 2 diabetes?,complications
40,How is diabetes caused in children?,cause
41,What symptoms do children with diabetes exhibit?,manifestation
42,How are children with diabetes treated?,management
43,What can the parents of children with diabetes do?,informationanddefinition
44,how to control Type 1 Diabetes?,management
45,How to controlling Type 2 Diabetes?,management
46,What can we learn from an HbA1c test?,diagnosis
47,What are type 2 medications?,informationanddefinition
48,What are the cost of Diabetes?,informationanddefinition
49,what are the cost of diabetes complications?,informationanddefinition
50,what are C-peptide Test?,diagnosis
51,What is C-peptide?,informationanddefinition
52,Why is a c-peptide test done?,diagnosis
