,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,ID,QuestionsAdjectives,QuestionsEntities,QuestionsNouns,SENTENCE,index,level_0
5,"Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.""","['rare', 'genetic', 'extreme', 'light']","['alström syndrome', 'number', 'features', 'sensitivity', 'hearing problems heart problems', 'type', 'obesity', 'diabetes']","['alström', 'syndrome', 'disorder', 'number', 'features', 'sensitivity', 'hearing', 'problems', 'heart', 'problems', 'obesity', 'type', 'diabetes']",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,informationanddefinition,6,[],['Alström Syndrome'],"['Alström', 'Syndrome']",What is Alström Syndrome?,5.0,5.0
6,"There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function.""","['common', 'retinal', 'progressive', 'involuntary', 'extreme', 'high', 'renal']","['features', 'alström syndrome', 'number', 'eye problems', 'degeneration', 'worsening', 'vision', 'disorder', 'hearing impairment cardiomyopathy', 'hyperinsulinemia', 'hypertriglyceridaemia', 'light', 'sensitivity', 'eye movements', 'photophobia', 'heart muscle obesity insulin resistance', 'diabetes', 'eye problems', 'nystagmus', 'heart', 'kidney disorders', 'birth', 'hearing problems', 'age', 'blood', 'dysfunction', 'triglyceride levels']","['number', 'features', 'alström', 'syndrome', 'eye', 'problems', 'degeneration', 'worsening', 'vision', 'nystagmus', 'eye', 'movements', 'photophobia', 'sensitivity', 'light', 'impairment', 'cardiomyopathy', 'disorder', 'heart', 'muscle', 'obesity', 'insulin', 'resistance', 'hyperinsulinemia', 'type', 'diabetes', 'hypertriglyceridaemia', 'triglyceride', 'levels', 'blood', 'dysfunction', 'kidney', 'disorders', 'heart', 'eye', 'problems', 'birth', 'problems', 'age']",there are a number of common features of alström syndrome which include: eye problems: including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) hearing impairment cardiomyopathy: disorder of the heart muscle obesity insulin resistance and hyperinsulinemia: leading to type 2 diabetes hypertriglyceridaemia: abnormally high triglyceride levels in the blood renal dysfunction: kidney disorders heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10.,manifestation,7,[],"['Symptoms', 'Alström Syndrome']","['Alström', 'Syndrome', 'Symptoms']",What does Alström Syndrome Symptoms includes?,6.0,6.0
7,"Alström syndrome is caused by a mutation in the ALMS1 gene. A mutation in this gene is known to affect a protein related to cilia minute whiskers which are present on the surface of cells. If each parent has a mutation in the ALMS1 gene there is a 1 in 4 chance that each child they have will develop Alström syndrome.""",[],"['alström syndrome', 'mutation', 'gene']","['alström', 'syndrome', 'mutation', 'alms1', 'gene']",alström syndrome is caused by a mutation in the alms1 gene.,cause,8,[],"['causes', 'Alström', 'syndrome']","['causes', 'Alström', 'syndrome']",what is the causes of Alström syndrome?,7.0,7.0
8,"A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene.""",[],"['diagnosis', 'alström syndrome', 'symptoms', 'presence']","['diagnosis', 'alström', 'syndrome', 'presence', 'symptoms']",a diagnosis of alström syndrome may be made based on presence of the symptoms.,diagnosis,9,[],"['syndrome', 'Alström']","['Alström', 'syndrome']",How is Alström syndrome diagnosed?,8.0,8.0
9,"There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas.""","['main', 'artificial', 'closed', 'artificial', 'bionic', 'artificial']","['pancreas systems', 'researchers', 'pancreas', 'pancreas.']","['pancreas', 'systems', 'researchers', 'loop', 'pancreas', 'pancreas', 'pancreas.']","there are three main artificial pancreas systems being worked on by researchers: closed-loop artificial pancreas bionic pancreas implanted artificial pancreas.""",informationanddefinition,10,['artificial'],['pancreas'],['pancreas'],Can I get an artificial pancreas?,9.0,9.0
274,"The low carb program looks to stay away from most types of beer as they can be quite high in carbs. That being said some beers are worse than others. Coors Light, for example, contains just 5g per 330m and is probably one of the best options when looking to keep te carbs down. For more info on drinking beer on a LCHF diet, feel free to follow the link. https://www.diabetes.co.uk/lowcarb/life/well-drink-to-that-why-beer-isnt-off-limits-on-low-carb/","['low', 'most', 'high']","['types', 'program', 'beer', 'carbs']","['carb', 'program', 'types', 'beer', 'carbs']",the low carb program looks to stay away from most types of beer as they can be quite high in carbs.,informationanddefinition,275,[],['beer'],['beer'],Can I drink beer?,274.0,274.0
342,"Beer, sometimes dubbed liquid bread, is very high in carbs. That being said, there are some low-ish carb beers. Coors light has 5g of carbs per 330ml bottle, ranking it as one of the lowest in carbs. For more info on low carb beers, feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/national-beer-day-our-guide-to-low-carb-tipples/","['liquid', 'high']","['beer', 'liquid bread', 'carbs']","['beer', 'bread', 'carbs']","beer, sometimes dubbed liquid bread, is very high in carbs.",informationanddefinition,343,[],['beer'],['beer'],Can I drink beer?,342.0,342.0
430,"Symptoms of hypoglycemia vary from person to person, but people with diabetes should learn to recognise their own signs in order to treat the hypo as quickly as possible. Some of the most common symptoms of a hypo include: Feeling dizzy, Feeling hungry, A change in mood, Feeling sweaty, Trembling, Finding it hard to concentrate.","['own', 'possible']","['hypoglycemia', 'symptoms', 'people', 'person', 'person', 'diabetes', 'signs', 'hypo', 'order']","['symptoms', 'hypoglycemia', 'person', 'person', 'people', 'diabetes', 'signs', 'order', 'hypo']","symptoms of hypoglycemia vary from person to person, but people with diabetes should learn to recognise their own signs in order to treat the hypo as quickly as possible.",manifestation,431,[],"['symptoms', 'hypoglycemia']","['symptoms', 'hypoglycemia']",What are the symptoms of hypoglycemia?,0.0,430.0
431,"ost of the food we eat is turned into glucose, or sugar, for our bodies to use for energy. The pancreas, an organ that lies near the stomach, makes a hormone called insulin to help glucose get into the cells of our bodies. When you have diabetes, your body either doesn’t make enough insulin or can’t use its own insulin as well as it should. This causes sugars to build up in the blood. Diabetes can cause serious health complications including heart disease, blindness, kidney failure, and lower-extremity amputations. Diabetes is predicted by a clear set of symptoms, but it still often goes undiagnosed. The main 3 diabetes signs are: Increased thirst, Increased need to urinate, Increased hunger, Diabetes is becoming increasingly more common throughout the world, due to increased obesity - which can lead to metabolic syndrome or pre-diabetes leading to higher incidences of type 2 diabetes.",[],"['ost', 'food', 'glucose', 'sugar', 'energy', 'bodies']","['ost', 'food', 'glucose', 'sugar', 'bodies', 'energy']","ost of the food we eat is turned into glucose, or sugar, for our bodies to use for energy.",informationanddefinition,432,[],['Diabetes'],['Diabetes'],What is Diabetes?,1.0,431.0
432,"According to the IDF, the number of diabetics in the world stands at 365 million people, representing around 8.5% of the global population. There are approximately 2.9 million diabetic people in the UK according to Diabetes UK, and there’s thought to be around 500,000 people who may be diabetic but currently undiagnosed.",['global'],"['idf', 'number', 'world', 'diabetics', 'people', 'population']","['idf', 'number', 'diabetics', 'world', 'people', '%', 'population']","according to the idf, the number of diabetics in the world stands at 365 million people, representing around 8.5% of the global population.",informationanddefinition,433,['many'],['diabetics'],['diabetics'],How many diabetics are there?,2.0,432.0
433,"Type 1 diabetes is controlled with insulin, either by regular injections of insulin or through wearing an insulin pump which drips insulin into the body through the day. Type 2 diabetes can be controlled through diet and exercise, , although it is common for people with type 2 diabetes to need medication such as tablets or injections to help them to keep their blood sugar levels within the normal range.",['regular'],"['type 1 diabetes', 'insulin', 'insulin pump', 'insulin', 'injections', 'body', 'insulin']","['type', 'diabetes', 'insulin', 'injections', 'insulin', 'insulin', 'pump', 'insulin', 'body', 'day']","type 1 diabetes is controlled with insulin, either by regular injections of insulin or through wearing an insulin pump which drips insulin into the body through the day.",management,434,[],['diabetes'],['diabetes'],How is diabetes controlled?,3.0,433.0
434,"Type 1 diabetes (insulin-dependent) requires insulin to treat, is typically developed as a child or young adult, and is a disease that destroys pancreatic cells meaning no insulin production is possible. Type 2 diabetes (non-insulin dependent diabetes) is considerably more common and typically affects people over the age of 45, who are also overweight. Those suffering from type 2 are unable to produce enough insulin, and sugar builds up in the bloodstream.","['dependent', 'young', 'pancreatic', 'possible']","['type 1 diabetes', 'disease', 'child', 'adult', 'insulin', 'cells', 'insulin production']","['type', 'diabetes', 'insulin', 'insulin', 'child', 'adult', 'disease', 'cells', 'insulin', 'production']","type 1 diabetes (insulin-dependent) requires insulin to treat, is typically developed as a child or young adult, and is a disease that destroys pancreatic cells meaning no insulin production is possible.",informationanddefinition,435,['major'],"['types', 'diabetes']","['types', 'diabetes']",What are the two major types of diabetes?,4.0,434.0
435,Wolfram syndrome will usually by diagnosed if the symptoms of diabetes mellitus and optic atrophy are present. Genetic testing can be used to confirm Wolfram syndrome.,"['optic', 'present']","['wolfram syndrome', 'symptoms', 'diabetes mellitus', 'atrophy']","['wolfram', 'syndrome', 'symptoms', 'diabetes', 'mellitus', 'atrophy']",wolfram syndrome will usually by diagnosed if the symptoms of diabetes mellitus and optic atrophy are present.,diagnosis,436,[],['Wolfram syndrome'],"['Wolfram', 'syndrome']",how to diagnose Wolfram syndrome?,5.0,435.0
436,"Treatment for Wolfram syndrome involves treating each of the individual symptoms. Diabetes insipidus: Controlled by taking the hormone vasopressin either by nasal spray, tablets or by injection. Diabetes mellitus: Controlled by taking insulin and regularly monitoring blood glucose levels, Optic atrophy: No treatment is available for optic atrophy, Deafness: Can be treated with a hearing aid, Muscle jerks: Can be controlled with anticonvulsant medication",['individual'],"['treatment', 'wolfram syndrome', 'each', 'symptoms']","['treatment', 'wolfram', 'syndrome', 'symptoms']",treatment for wolfram syndrome involves treating each of the individual symptoms.,management,437,[],['Wolfram syndrome'],"['Wolfram', 'syndrome']",How do you treat Wolfram syndrome?,6.0,436.0
437,"Wolfram syndrome is caused by a mutation in the WFS1 gene. The WSF1 gene controls the production of a protein called wolframin which is thought to be involved in the regulation of calcium in many parts of the body. If you have a child with Wolfram syndrome, there is a 1 in 4 chance that each of your other children will develop Wolfram syndrome. It is possible to carry out genetic testing, whilst pregnant, to determine whether the developing baby will develop Wolfram’s syndrome.",[],"['wolfram syndrome', 'mutation', 'gene']","['wolfram', 'syndrome', 'mutation', 'wfs1', 'gene']",wolfram syndrome is caused by a mutation in the wfs1 gene.,cause,438,[],"['causes', 'Wolfram syndrome']","['causes', 'Wolfram', 'syndrome']",what are the causes of Wolfram syndrome?,7.0,437.0
438,Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.,"['rare', 'genetic', 'extreme', 'light']","['alström syndrome', 'number', 'features', 'sensitivity', 'hearing problems heart problems', 'type', 'obesity', 'diabetes']","['alström', 'syndrome', 'disorder', 'number', 'features', 'sensitivity', 'hearing', 'problems', 'heart', 'problems', 'obesity', 'type', 'diabetes']",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,informationanddefinition,439,[],['Alström Syndrome'],"['Alström', 'Syndrome']",What is Alström Syndrome?,8.0,438.0
439,There are a number of common features of Alström syndrome which include: Eye problems: Including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) Hearing impairment Cardiomyopathy: Disorder of the heart muscle Obesity Insulin resistance and hyperinsulinemia: Leading to type 2 diabetes Hypertriglyceridaemia: Abnormally high triglyceride levels in the blood Renal dysfunction: Kidney disorders Heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10. Children with Alström syndrome will usually gain weight quickly despite eating healthily and diagnosis of type 2 diabetes within childhood is common. The features which a child develops as well as the severity of the symptoms can vary from child to child. Additional complications which can follow include: Bladder and bowel problems Bone and joint problems: Including arthritis Hypogonadism (low testosterone levels) Polycystic ovary syndrome (PCOS) Hypothyroidism: Underactive thyroid function.,"['common', 'retinal', 'progressive', 'involuntary', 'extreme', 'high', 'renal']","['features', 'alström syndrome', 'number', 'eye problems', 'degeneration', 'worsening', 'vision', 'disorder', 'hearing impairment cardiomyopathy', 'hyperinsulinemia', 'hypertriglyceridaemia', 'light', 'sensitivity', 'eye movements', 'photophobia', 'heart muscle obesity insulin resistance', 'diabetes', 'eye problems', 'nystagmus', 'heart', 'kidney disorders', 'birth', 'hearing problems', 'age', 'blood', 'dysfunction', 'triglyceride levels']","['number', 'features', 'alström', 'syndrome', 'eye', 'problems', 'degeneration', 'worsening', 'vision', 'nystagmus', 'eye', 'movements', 'photophobia', 'sensitivity', 'light', 'impairment', 'cardiomyopathy', 'disorder', 'heart', 'muscle', 'obesity', 'insulin', 'resistance', 'hyperinsulinemia', 'type', 'diabetes', 'hypertriglyceridaemia', 'triglyceride', 'levels', 'blood', 'dysfunction', 'kidney', 'disorders', 'heart', 'eye', 'problems', 'birth', 'problems', 'age']",there are a number of common features of alström syndrome which include: eye problems: including retinal degeneration (progressive worsening of vision) nystagmus (involuntary eye movements) and photophobia (extreme sensitivity to light) hearing impairment cardiomyopathy: disorder of the heart muscle obesity insulin resistance and hyperinsulinemia: leading to type 2 diabetes hypertriglyceridaemia: abnormally high triglyceride levels in the blood renal dysfunction: kidney disorders heart and eye problems will often be diagnosed shortly after birth whilst hearing problems usually occur before the age of 10.,manifestation,440,[],"['Symptoms', 'Alström Syndrome']","['Alström', 'Syndrome', 'Symptoms']",What does Alström Syndrome Symptoms includes?,9.0,439.0
440,Alström syndrome is caused by a mutation in the ALMS1 gene. A mutation in this gene is known to affect a protein related to cilia minute whiskers which are present on the surface of cells. If each parent has a mutation in the ALMS1 gene there is a 1 in 4 chance that each child they have will develop Alström syndrome.,[],"['alström syndrome', 'mutation', 'gene']","['alström', 'syndrome', 'mutation', 'alms1', 'gene']",alström syndrome is caused by a mutation in the alms1 gene.,cause,441,[],"['causes', 'Alström', 'syndrome']","['causes', 'Alström', 'syndrome']",what is the causes of Alström syndrome?,10.0,440.0
441,A diagnosis of Alström syndrome may be made based on presence of the symptoms. If confirmation is needed genetic testing can be used to identify mutation of the ALMS1 gene.,[],"['diagnosis', 'alström syndrome', 'symptoms', 'presence']","['diagnosis', 'alström', 'syndrome', 'presence', 'symptoms']",a diagnosis of alström syndrome may be made based on presence of the symptoms.,diagnosis,442,[],"['syndrome', 'Alström']","['Alström', 'syndrome']",How is Alström syndrome diagnosed?,11.0,441.0
442,There are three main artificial pancreas systems being worked on by researchers: Closed-loop artificial pancreas Bionic pancreas Implanted artificial pancreas.,"['main', 'artificial', 'closed', 'artificial', 'bionic', 'artificial']","['pancreas systems', 'researchers', 'pancreas', 'pancreas']","['pancreas', 'systems', 'researchers', 'loop', 'pancreas', 'pancreas', 'pancreas']",there are three main artificial pancreas systems being worked on by researchers: closed-loop artificial pancreas bionic pancreas implanted artificial pancreas.,informationanddefinition,443,['artificial'],['pancreas'],['pancreas'],Can I get an artificial pancreas?,12.0,442.0
443,"Symptoms of hypoglycemia vary from person to person, but people with diabetes should learn to recognise their own signs in order to treat the hypo as quickly as possible. Some of the most common symptoms of a hypo include: Feeling dizzy, Feeling hungry, A change in mood, Feeling sweaty, Trembling, Finding it hard to concentrate.","['own', 'possible']","['hypoglycemia', 'symptoms', 'people', 'person', 'person', 'diabetes', 'signs', 'hypo', 'order']","['symptoms', 'hypoglycemia', 'person', 'person', 'people', 'diabetes', 'signs', 'order', 'hypo']","symptoms of hypoglycemia vary from person to person, but people with diabetes should learn to recognise their own signs in order to treat the hypo as quickly as possible.",manifestation,444,[],"['symptoms', 'hypoglycemia']","['symptoms', 'hypoglycemia']",What are the symptoms of hypoglycemia?,,0.0
444,"ost of the food we eat is turned into glucose, or sugar, for our bodies to use for energy. The pancreas, an organ that lies near the stomach, makes a hormone called insulin to help glucose get into the cells of our bodies. When you have diabetes, your body either doesn’t make enough insulin or can’t use its own insulin as well as it should. This causes sugars to build up in the blood. Diabetes can cause serious health complications including heart disease, blindness, kidney failure, and lower-extremity amputations. Diabetes is predicted by a clear set of symptoms, but it still often goes undiagnosed. The main 3 diabetes signs are: Increased thirst, Increased need to urinate, Increased hunger, Diabetes is becoming increasingly more common throughout the world, due to increased obesity - which can lead to metabolic syndrome or pre-diabetes leading to higher incidences of type 2 diabetes.",[],"['ost', 'food', 'glucose', 'sugar', 'energy', 'bodies']","['ost', 'food', 'glucose', 'sugar', 'bodies', 'energy']","ost of the food we eat is turned into glucose, or sugar, for our bodies to use for energy.",informationanddefinition,445,[],['Diabetes'],['Diabetes'],What is Diabetes?,,1.0
445,"According to the IDF, the number of diabetics in the world stands at 365 million people, representing around 8.5% of the global population. There are approximately 2.9 million diabetic people in the UK according to Diabetes UK, and there’s thought to be around 500,000 people who may be diabetic but currently undiagnosed.",['global'],"['idf', 'number', 'world', 'diabetics', 'people', 'population']","['idf', 'number', 'diabetics', 'world', 'people', '%', 'population']","according to the idf, the number of diabetics in the world stands at 365 million people, representing around 8.5% of the global population.",informationanddefinition,446,['many'],['diabetics'],['diabetics'],How many diabetics are there?,,2.0
446,"Type 1 diabetes is controlled with insulin, either by regular injections of insulin or through wearing an insulin pump which drips insulin into the body through the day. Type 2 diabetes can be controlled through diet and exercise, , although it is common for people with type 2 diabetes to need medication such as tablets or injections to help them to keep their blood sugar levels within the normal range.",['regular'],"['type 1 diabetes', 'insulin', 'insulin pump', 'insulin', 'injections', 'body', 'insulin']","['type', 'diabetes', 'insulin', 'injections', 'insulin', 'insulin', 'pump', 'insulin', 'body', 'day']","type 1 diabetes is controlled with insulin, either by regular injections of insulin or through wearing an insulin pump which drips insulin into the body through the day.",management,447,[],['diabetes'],['diabetes'],How is diabetes controlled?,,3.0
447,"Type 1 diabetes (insulin-dependent) requires insulin to treat, is typically developed as a child or young adult, and is a disease that destroys pancreatic cells meaning no insulin production is possible. Type 2 diabetes (non-insulin dependent diabetes) is considerably more common and typically affects people over the age of 45, who are also overweight. Those suffering from type 2 are unable to produce enough insulin, and sugar builds up in the bloodstream.","['dependent', 'young', 'pancreatic', 'possible']","['type 1 diabetes', 'disease', 'child', 'adult', 'insulin', 'cells', 'insulin production']","['type', 'diabetes', 'insulin', 'insulin', 'child', 'adult', 'disease', 'cells', 'insulin', 'production']","type 1 diabetes (insulin-dependent) requires insulin to treat, is typically developed as a child or young adult, and is a disease that destroys pancreatic cells meaning no insulin production is possible.",informationanddefinition,448,['major'],"['types', 'diabetes']","['types', 'diabetes']",What are the two major types of diabetes?,,4.0
448,Wolfram syndrome will usually by diagnosed if the symptoms of diabetes mellitus and optic atrophy are present. Genetic testing can be used to confirm Wolfram syndrome.,"['optic', 'present']","['wolfram syndrome', 'symptoms', 'diabetes mellitus', 'atrophy']","['wolfram', 'syndrome', 'symptoms', 'diabetes', 'mellitus', 'atrophy']",wolfram syndrome will usually by diagnosed if the symptoms of diabetes mellitus and optic atrophy are present.,diagnosis,449,[],['Wolfram syndrome'],"['Wolfram', 'syndrome']",how to diagnose Wolfram syndrome?,,5.0
449,"Treatment for Wolfram syndrome involves treating each of the individual symptoms. Diabetes insipidus: Controlled by taking the hormone vasopressin either by nasal spray, tablets or by injection. Diabetes mellitus: Controlled by taking insulin and regularly monitoring blood glucose levels, Optic atrophy: No treatment is available for optic atrophy, Deafness: Can be treated with a hearing aid, Muscle jerks: Can be controlled with anticonvulsant medication",['individual'],"['treatment', 'wolfram syndrome', 'each', 'symptoms']","['treatment', 'wolfram', 'syndrome', 'symptoms']",treatment for wolfram syndrome involves treating each of the individual symptoms.,management,450,[],['Wolfram syndrome'],"['Wolfram', 'syndrome']",How do you treat Wolfram syndrome?,,6.0
450,"Wolfram syndrome is caused by a mutation in the WFS1 gene. The WSF1 gene controls the production of a protein called wolframin which is thought to be involved in the regulation of calcium in many parts of the body. If you have a child with Wolfram syndrome, there is a 1 in 4 chance that each of your other children will develop Wolfram syndrome. It is possible to carry out genetic testing, whilst pregnant, to determine whether the developing baby will develop Wolfram’s syndrome.",[],"['wolfram syndrome', 'mutation', 'gene']","['wolfram', 'syndrome', 'mutation', 'wfs1', 'gene']",wolfram syndrome is caused by a mutation in the wfs1 gene.,cause,451,[],"['causes', 'Wolfram syndrome']","['causes', 'Wolfram', 'syndrome']",what are the causes of Wolfram syndrome?,,7.0
451,Alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes. Most of the features of Alström syndrome are treatable although health complications of the condition are common. It is estimated that around 200 families in the UK may be affected by Alström syndrome.,"['rare', 'genetic', 'extreme', 'light']","['alström syndrome', 'number', 'features', 'sensitivity', 'hearing problems heart problems', 'type', 'obesity', 'diabetes']","['alström', 'syndrome', 'disorder', 'number', 'features', 'sensitivity', 'hearing', 'problems', 'heart', 'problems', 'obesity', 'type', 'diabetes']",alström syndrome is a rare genetic disorder that is characterised by a number of features notably including extreme sensitivity to light hearing problems heart problems obesity and type 2 diabetes.,informationanddefinition,452,[],['Alström Syndrome'],"['Alström', 'Syndrome']",What is Alström Syndrome?,,8.0
